city,date,card_type,exp_type,gender,amount,month,customer_id,customer_segment
"Pune, India",2013-10-05,Silver,Food,F,38978,2013-10,"Pune, India_Silver_F",Regular Customers
"Ahmedabad, India",2013-10-05,Signature,Grocery,M,20999,2013-10,"Ahmedabad, India_Signature_M",High-Value Customers
"Soron, India",2013-10-05,Gold,Food,F,253631,2013-10,"Soron, India_Gold_F",Regular Customers
"Bengaluru, India",2013-10-05,Silver,Fuel,F,123820,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Ahmedabad, India",2013-10-05,Platinum,Food,F,44134,2013-10,"Ahmedabad, India_Platinum_F",High-Value Customers
"Ahmedabad, India",2013-10-05,Platinum,Bills,F,612572,2013-10,"Ahmedabad, India_Platinum_F",High-Value Customers
"Jaipur, India",2013-10-05,Signature,Bills,F,92598,2013-10,"Jaipur, India_Signature_F",Regular Customers
"Ahmedabad, India",2013-10-05,Signature,Entertainment,M,261523,2013-10,"Ahmedabad, India_Signature_M",High-Value Customers
"Delhi, India",2013-10-05,Silver,Food,F,22774,2013-10,"Delhi, India_Silver_F",High-Value Customers
"Hindupur, India",2013-10-05,Platinum,Entertainment,M,235393,2013-10,"Hindupur, India_Platinum_M",Inactive Customers
"Bengaluru, India",2013-10-05,Silver,Food,F,164024,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Jaipur, India",2013-10-05,Silver,Food,M,54159,2013-10,"Jaipur, India_Silver_M",Regular Customers
"Surat, India",2013-10-05,Platinum,Bills,F,8478,2013-10,"Surat, India_Platinum_F",Regular Customers
"Bengaluru, India",2013-10-05,Platinum,Food,M,183626,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Greater Mumbai, India",2013-10-05,Signature,Fuel,M,130428,2013-10,"Greater Mumbai, India_Signature_M",High-Value Customers
"Greater Mumbai, India",2013-10-05,Platinum,Bills,F,286662,2013-10,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Hansi, India",2013-10-05,Gold,Grocery,M,79974,2013-10,"Hansi, India_Gold_M",Inactive Customers
"Delhi, India",2013-10-05,Silver,Grocery,F,158154,2013-10,"Delhi, India_Silver_F",High-Value Customers
"Chennai, India",2013-10-05,Signature,Fuel,F,255850,2013-10,"Chennai, India_Signature_F",Regular Customers
"Ramnagar, India",2013-10-05,Gold,Entertainment,M,167400,2013-10,"Ramnagar, India_Gold_M",Inactive Customers
"Bengaluru, India",2013-10-05,Gold,Entertainment,M,264301,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Lingsugur, India",2013-10-05,Platinum,Grocery,F,104254,2013-10,"Lingsugur, India_Platinum_F",Regular Customers
"Lucknow, India",2013-10-05,Signature,Fuel,F,81115,2013-10,"Lucknow, India_Signature_F",Regular Customers
"Ahmedabad, India",2013-10-05,Signature,Food,F,147199,2013-10,"Ahmedabad, India_Signature_F",High-Value Customers
"Ahmedabad, India",2013-10-05,Silver,Entertainment,F,299794,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Jaipur, India",2013-10-05,Silver,Bills,M,217527,2013-10,"Jaipur, India_Silver_M",Regular Customers
"Jaipur, India",2013-10-05,Platinum,Bills,M,246855,2013-10,"Jaipur, India_Platinum_M",Regular Customers
"Merta City, India",2013-10-05,Signature,Grocery,F,160358,2013-10,"Merta City, India_Signature_F",Regular Customers
"Chennai, India",2013-10-05,Gold,Bills,F,32874,2013-10,"Chennai, India_Gold_F",Regular Customers
"Ahmedabad, India",2013-10-05,Signature,Food,M,158711,2013-10,"Ahmedabad, India_Signature_M",High-Value Customers
"Pune, India",2013-10-05,Gold,Food,M,236710,2013-10,"Pune, India_Gold_M",Regular Customers
"Pune, India",2013-10-05,Silver,Grocery,M,254534,2013-10,"Pune, India_Silver_M",Regular Customers
"Chennai, India",2013-10-05,Silver,Travel,M,279582,2013-10,"Chennai, India_Silver_M",Regular Customers
"Bengaluru, India",2013-10-05,Gold,Grocery,F,171087,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Pune, India",2013-10-05,Silver,Grocery,F,22267,2013-10,"Pune, India_Silver_F",Regular Customers
"Ahmedabad, India",2013-10-05,Signature,Grocery,M,229366,2013-10,"Ahmedabad, India_Signature_M",High-Value Customers
"Kanpur, India",2013-10-05,Gold,Bills,F,19658,2013-10,"Kanpur, India_Gold_F",Regular Customers
"Surat, India",2013-10-05,Silver,Entertainment,M,81542,2013-10,"Surat, India_Silver_M",Regular Customers
"Surat, India",2013-10-05,Signature,Grocery,F,121025,2013-10,"Surat, India_Signature_F",Regular Customers
"Ludhiana, India",2013-10-05,Silver,Food,M,288687,2013-10,"Ludhiana, India_Silver_M",Regular Customers
"Ramdurg, India",2013-10-05,Silver,Grocery,F,296064,2013-10,"Ramdurg, India_Silver_F",Regular Customers
"Mangrol, India",2013-10-05,Silver,Bills,F,85242,2013-10,"Mangrol, India_Silver_F",Inactive Customers
"Greater Mumbai, India",2013-10-05,Signature,Fuel,M,122595,2013-10,"Greater Mumbai, India_Signature_M",High-Value Customers
"Kadapa, India",2013-10-05,Platinum,Entertainment,M,281053,2013-10,"Kadapa, India_Platinum_M",Inactive Customers
"Kanpur, India",2013-10-05,Silver,Travel,F,264641,2013-10,"Kanpur, India_Silver_F",Regular Customers
"Greater Mumbai, India",2013-10-05,Silver,Food,F,141946,2013-10,"Greater Mumbai, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-10-05,Silver,Fuel,F,127320,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Jaipur, India",2013-10-06,Signature,Bills,F,63141,2013-10,"Jaipur, India_Signature_F",Regular Customers
"Sawai Madhopur, India",2013-10-06,Gold,Bills,F,225186,2013-10,"Sawai Madhopur, India_Gold_F",Regular Customers
"Jhargram, India",2013-10-06,Silver,Bills,M,285170,2013-10,"Jhargram, India_Silver_M",Regular Customers
"Pavagada, India",2013-10-06,Silver,Food,F,33864,2013-10,"Pavagada, India_Silver_F",Inactive Customers
"Delhi, India",2013-10-06,Signature,Fuel,F,14522,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Kharagpur, India",2013-10-06,Gold,Grocery,F,215506,2013-10,"Kharagpur, India_Gold_F",Inactive Customers
"Hyderabad, India",2013-10-06,Silver,Bills,M,130057,2013-10,"Hyderabad, India_Silver_M",Regular Customers
"Kanpur, India",2013-10-06,Signature,Food,M,271103,2013-10,"Kanpur, India_Signature_M",Regular Customers
"Rampur, India",2013-10-06,Platinum,Fuel,M,141559,2013-10,"Rampur, India_Platinum_M",Inactive Customers
"Kendrapara, India",2013-10-06,Signature,Food,F,33470,2013-10,"Kendrapara, India_Signature_F",Regular Customers
"Utraula, India",2013-10-06,Signature,Bills,F,142712,2013-10,"Utraula, India_Signature_F",Inactive Customers
"Greater Mumbai, India",2013-10-06,Platinum,Bills,M,5557,2013-10,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Kolkata, India",2013-10-06,Silver,Fuel,M,144756,2013-10,"Kolkata, India_Silver_M",Regular Customers
"Ahmedabad, India",2013-10-06,Silver,Entertainment,F,1938,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Delhi, India",2013-10-06,Platinum,Bills,M,142390,2013-10,"Delhi, India_Platinum_M",High-Value Customers
"Bengaluru, India",2013-10-06,Silver,Entertainment,F,153572,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-10-06,Platinum,Grocery,F,172280,2013-10,"Bengaluru, India_Platinum_F",High-Value Customers
"Delhi, India",2013-10-06,Gold,Grocery,F,62430,2013-10,"Delhi, India_Gold_F",High-Value Customers
"Ahmedabad, India",2013-10-06,Signature,Food,F,272214,2013-10,"Ahmedabad, India_Signature_F",High-Value Customers
"Ahmedabad, India",2013-10-06,Silver,Food,F,34627,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Delhi, India",2013-10-06,Platinum,Grocery,F,23276,2013-10,"Delhi, India_Platinum_F",High-Value Customers
"Bengaluru, India",2013-10-06,Platinum,Food,M,264084,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Delhi, India",2013-10-06,Gold,Food,M,189094,2013-10,"Delhi, India_Gold_M",High-Value Customers
"Tiruchirappalli, India",2013-10-06,Silver,Fuel,M,156150,2013-10,"Tiruchirappalli, India_Silver_M",Inactive Customers
"Bengaluru, India",2013-10-06,Signature,Fuel,F,149848,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-10-06,Signature,Bills,F,677654,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Surat, India",2013-10-06,Gold,Food,F,175081,2013-10,"Surat, India_Gold_F",Regular Customers
"Ahmedabad, India",2013-10-06,Gold,Food,M,125804,2013-10,"Ahmedabad, India_Gold_M",High-Value Customers
"Greater Mumbai, India",2013-10-06,Signature,Entertainment,F,283090,2013-10,"Greater Mumbai, India_Signature_F",High-Value Customers
"Lucknow, India",2013-10-06,Gold,Entertainment,F,71412,2013-10,"Lucknow, India_Gold_F",Regular Customers
"Greater Mumbai, India",2013-10-06,Silver,Fuel,F,66083,2013-10,"Greater Mumbai, India_Silver_F",High-Value Customers
"Pune, India",2013-10-06,Platinum,Grocery,F,245189,2013-10,"Pune, India_Platinum_F",Regular Customers
"Chennai, India",2013-10-06,Platinum,Food,F,37449,2013-10,"Chennai, India_Platinum_F",Regular Customers
"Hyderabad, India",2013-10-06,Gold,Travel,F,83660,2013-10,"Hyderabad, India_Gold_F",Regular Customers
"Lucknow, India",2013-10-06,Silver,Food,M,212365,2013-10,"Lucknow, India_Silver_M",Regular Customers
"Greater Mumbai, India",2013-10-06,Silver,Food,M,280604,2013-10,"Greater Mumbai, India_Silver_M",High-Value Customers
"Kolkata, India",2013-10-06,Signature,Entertainment,M,105294,2013-10,"Kolkata, India_Signature_M",Regular Customers
"Greater Mumbai, India",2013-10-06,Silver,Entertainment,M,223491,2013-10,"Greater Mumbai, India_Silver_M",High-Value Customers
"Delhi, India",2013-10-06,Signature,Food,F,156519,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Pune, India",2013-10-06,Silver,Bills,F,290818,2013-10,"Pune, India_Silver_F",Regular Customers
"Ahmedabad, India",2013-10-06,Gold,Fuel,M,265492,2013-10,"Ahmedabad, India_Gold_M",High-Value Customers
"Pune, India",2013-10-06,Signature,Fuel,F,171445,2013-10,"Pune, India_Signature_F",Regular Customers
"Pilkhuwa, India",2013-10-06,Signature,Entertainment,M,148833,2013-10,"Pilkhuwa, India_Signature_M",Regular Customers
"Bengaluru, India",2013-10-06,Gold,Food,F,41266,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Kolkata, India",2013-10-07,Platinum,Bills,F,181470,2013-10,"Kolkata, India_Platinum_F",Regular Customers
"Tumsar, India",2013-10-07,Gold,Grocery,M,63818,2013-10,"Tumsar, India_Gold_M",Inactive Customers
"Surat, India",2013-10-07,Silver,Food,M,70282,2013-10,"Surat, India_Silver_M",Regular Customers
"Jabalpur, India",2013-10-07,Signature,Entertainment,F,174318,2013-10,"Jabalpur, India_Signature_F",Inactive Customers
"Ahmedabad, India",2013-10-07,Platinum,Bills,M,56262,2013-10,"Ahmedabad, India_Platinum_M",High-Value Customers
"Surat, India",2013-10-07,Platinum,Fuel,M,97550,2013-10,"Surat, India_Platinum_M",Regular Customers
"Kottayam, India",2013-10-07,Platinum,Food,M,210162,2013-10,"Kottayam, India_Platinum_M",Inactive Customers
"Sabalgarh, India",2013-10-07,Signature,Grocery,M,104886,2013-10,"Sabalgarh, India_Signature_M",Inactive Customers
"Bengaluru, India",2013-10-07,Gold,Bills,M,47228,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Bengaluru, India",2013-10-07,Silver,Fuel,M,39434,2013-10,"Bengaluru, India_Silver_M",High-Value Customers
"Greater Mumbai, India",2013-10-07,Platinum,Fuel,F,126821,2013-10,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Tiruvethipuram, India",2013-10-07,Signature,Grocery,M,275284,2013-10,"Tiruvethipuram, India_Signature_M",Inactive Customers
"Ahmedabad, India",2013-10-07,Platinum,Food,M,25685,2013-10,"Ahmedabad, India_Platinum_M",High-Value Customers
"Malegaon, India",2013-10-07,Signature,Entertainment,F,288672,2013-10,"Malegaon, India_Signature_F",Inactive Customers
"Ahmedabad, India",2013-10-07,Platinum,Food,F,130267,2013-10,"Ahmedabad, India_Platinum_F",High-Value Customers
"Kanpur, India",2013-10-07,Platinum,Grocery,F,222044,2013-10,"Kanpur, India_Platinum_F",Regular Customers
"Ahmedabad, India",2013-10-07,Platinum,Grocery,F,127358,2013-10,"Ahmedabad, India_Platinum_F",High-Value Customers
"Bengaluru, India",2013-10-07,Platinum,Fuel,M,200833,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Makrana, India",2013-10-07,Signature,Fuel,F,116394,2013-10,"Makrana, India_Signature_F",Inactive Customers
"Bengaluru, India",2013-10-07,Silver,Fuel,F,224526,2013-10,"Bengaluru, India_Silver_F",High-Value Customers
"Bengaluru, India",2013-10-07,Gold,Bills,F,53126,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Kanpur, India",2013-10-07,Platinum,Food,F,47482,2013-10,"Kanpur, India_Platinum_F",Regular Customers
"Nashik, India",2013-10-07,Gold,Bills,M,114458,2013-10,"Nashik, India_Gold_M",Inactive Customers
"Hyderabad, India",2013-10-07,Gold,Fuel,F,103991,2013-10,"Hyderabad, India_Gold_F",Regular Customers
"Roorkee, India",2013-10-07,Signature,Fuel,M,113589,2013-10,"Roorkee, India_Signature_M",Inactive Customers
"Alwar, India",2013-10-07,Signature,Food,F,285142,2013-10,"Alwar, India_Signature_F",Inactive Customers
"Delhi, India",2013-10-07,Gold,Grocery,F,100142,2013-10,"Delhi, India_Gold_F",High-Value Customers
"Haldwani-cum-Kathgodam, India",2013-10-07,Silver,Food,M,212679,2013-10,"Haldwani-cum-Kathgodam, India_Silver_M",Regular Customers
"Delhi, India",2013-10-07,Platinum,Bills,F,897079,2013-10,"Delhi, India_Platinum_F",High-Value Customers
"Jind, India",2013-10-07,Platinum,Food,M,70125,2013-10,"Jind, India_Platinum_M",Regular Customers
"Bengaluru, India",2013-10-07,Silver,Grocery,M,184766,2013-10,"Bengaluru, India_Silver_M",High-Value Customers
"Ahmedabad, India",2013-10-07,Silver,Food,F,85887,2013-10,"Ahmedabad, India_Silver_F",High-Value Customers
"Greater Mumbai, India",2013-10-07,Signature,Food,F,136426,2013-10,"Greater Mumbai, India_Signature_F",High-Value Customers
"Akola, India",2013-10-07,Signature,Grocery,M,161255,2013-10,"Akola, India_Signature_M",Inactive Customers
"Surat, India",2013-10-07,Signature,Fuel,F,130714,2013-10,"Surat, India_Signature_F",Regular Customers
"Chennai, India",2013-10-07,Gold,Food,M,170470,2013-10,"Chennai, India_Gold_M",Regular Customers
"Bengaluru, India",2013-10-07,Gold,Bills,F,186328,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Delhi, India",2013-10-07,Gold,Bills,F,94821,2013-10,"Delhi, India_Gold_F",High-Value Customers
"Hyderabad, India",2013-10-07,Platinum,Travel,M,33530,2013-10,"Hyderabad, India_Platinum_M",Regular Customers
"Bengaluru, India",2013-10-07,Gold,Bills,M,152070,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Sillod, India",2013-10-07,Silver,Food,M,166868,2013-10,"Sillod, India_Silver_M",Inactive Customers
"Pune, India",2013-10-07,Silver,Grocery,F,206730,2013-10,"Pune, India_Silver_F",Regular Customers
"Tharad, India",2013-10-07,Gold,Bills,M,118136,2013-10,"Tharad, India_Gold_M",Regular Customers
"Delhi, India",2013-10-07,Signature,Grocery,F,241679,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Pune, India",2013-10-07,Silver,Entertainment,M,112985,2013-10,"Pune, India_Silver_M",Regular Customers
"Mhow Cantonment, India",2013-10-07,Signature,Bills,F,124806,2013-10,"Mhow Cantonment, India_Signature_F",Inactive Customers
"Satana, India",2013-10-07,Platinum,Grocery,M,264412,2013-10,"Satana, India_Platinum_M",Inactive Customers
"Bengaluru, India",2013-10-07,Signature,Food,F,14506,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Greater Mumbai, India",2013-10-07,Platinum,Bills,F,212803,2013-10,"Greater Mumbai, India_Platinum_F",High-Value Customers
"Greater Mumbai, India",2013-10-07,Platinum,Food,M,242693,2013-10,"Greater Mumbai, India_Platinum_M",High-Value Customers
"Kanpur, India",2013-10-08,Gold,Food,F,18621,2013-10,"Kanpur, India_Gold_F",Regular Customers
"Bengaluru, India",2013-10-08,Signature,Bills,F,76267,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Bengaluru, India",2013-10-08,Gold,Fuel,M,156732,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Ahmedabad, India",2013-10-08,Signature,Fuel,F,57789,2013-10,"Ahmedabad, India_Signature_F",High-Value Customers
"Jorhat, India",2013-10-08,Gold,Entertainment,F,224801,2013-10,"Jorhat, India_Gold_F",Regular Customers
"Delhi, India",2013-10-08,Silver,Bills,F,106902,2013-10,"Delhi, India_Silver_F",High-Value Customers
"Ahmedabad, India",2013-10-08,Gold,Food,F,87268,2013-10,"Ahmedabad, India_Gold_F",High-Value Customers
"Sailu, India",2013-10-08,Platinum,Fuel,F,273936,2013-10,"Sailu, India_Platinum_F",Regular Customers
"Bengaluru, India",2013-10-08,Platinum,Food,M,100379,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Bengaluru, India",2013-10-08,Gold,Grocery,F,222744,2013-10,"Bengaluru, India_Gold_F",High-Value Customers
"Bengaluru, India",2013-10-08,Signature,Food,F,99656,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Kancheepuram, India",2013-10-08,Gold,Grocery,M,123713,2013-10,"Kancheepuram, India_Gold_M",Regular Customers
"Kendujhar, India",2013-10-08,Silver,Grocery,F,14807,2013-10,"Kendujhar, India_Silver_F",Inactive Customers
"Delhi, India",2013-10-08,Platinum,Bills,F,136828,2013-10,"Delhi, India_Platinum_F",High-Value Customers
"Sathyamangalam, India",2013-10-08,Signature,Fuel,F,79715,2013-10,"Sathyamangalam, India_Signature_F",Inactive Customers
"Chennai, India",2013-10-08,Platinum,Bills,F,235249,2013-10,"Chennai, India_Platinum_F",Regular Customers
"Delhi, India",2013-10-08,Platinum,Fuel,M,293383,2013-10,"Delhi, India_Platinum_M",High-Value Customers
"Kanpur, India",2013-10-08,Gold,Entertainment,F,220014,2013-10,"Kanpur, India_Gold_F",Regular Customers
"Greater Mumbai, India",2013-10-08,Silver,Fuel,F,94545,2013-10,"Greater Mumbai, India_Silver_F",High-Value Customers
"Ramnagar, India",2013-10-08,Platinum,Bills,M,121303,2013-10,"Ramnagar, India_Platinum_M",Inactive Customers
"Sibsagar, India",2013-10-08,Signature,Grocery,F,43741,2013-10,"Sibsagar, India_Signature_F",Regular Customers
"Talaja, India",2013-10-08,Gold,Fuel,F,33623,2013-10,"Talaja, India_Gold_F",Inactive Customers
"Greater Mumbai, India",2013-10-08,Gold,Entertainment,F,188378,2013-10,"Greater Mumbai, India_Gold_F",High-Value Customers
"Kolkata, India",2013-10-08,Silver,Food,F,43013,2013-10,"Kolkata, India_Silver_F",Regular Customers
"Delhi, India",2013-10-08,Platinum,Bills,F,900101,2013-10,"Delhi, India_Platinum_F",High-Value Customers
"Bengaluru, India",2013-10-08,Signature,Food,F,9478,2013-10,"Bengaluru, India_Signature_F",High-Value Customers
"Ahmedabad, India",2013-10-08,Gold,Fuel,M,60020,2013-10,"Ahmedabad, India_Gold_M",High-Value Customers
"Surat, India",2013-10-08,Signature,Bills,F,279967,2013-10,"Surat, India_Signature_F",Regular Customers
"Raisen, India",2013-10-08,Signature,Grocery,F,78480,2013-10,"Raisen, India_Signature_F",Regular Customers
"Bengaluru, India",2013-10-08,Platinum,Fuel,M,203352,2013-10,"Bengaluru, India_Platinum_M",High-Value Customers
"Delhi, India",2013-10-08,Gold,Entertainment,F,28898,2013-10,"Delhi, India_Gold_F",High-Value Customers
"Bengaluru, India",2013-10-08,Gold,Bills,M,18782,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Ahmedabad, India",2013-10-08,Platinum,Entertainment,M,122753,2013-10,"Ahmedabad, India_Platinum_M",High-Value Customers
"Pune, India",2013-10-08,Silver,Entertainment,F,221118,2013-10,"Pune, India_Silver_F",Regular Customers
"Delhi, India",2013-10-08,Platinum,Bills,F,129169,2013-10,"Delhi, India_Platinum_F",High-Value Customers
"Delhi, India",2013-10-08,Signature,Bills,F,117144,2013-10,"Delhi, India_Signature_F",High-Value Customers
"Nellore, India",2013-10-08,Gold,Grocery,F,198455,2013-10,"Nellore, India_Gold_F",Regular Customers
"Bengaluru, India",2013-10-08,Gold,Fuel,M,118249,2013-10,"Bengaluru, India_Gold_M",High-Value Customers
"Lucknow, India",2013-10-08,Silver,Fuel,F,32046,2013-10,"Lucknow, India_Silver_F",Regular Customers
